relseconds,latitude,longitude,altitude,groundspeed
90.168,0,0,-0.94354248046875,0
90.469,0,0,-0.94354248046875,0
90.778,0,0,-0.8447265625,0
91.054,0,0,-0.8338623046875,0
91.362,0,0,-0.9349365234375,0
91.664,0,0,-0.9349365234375,0
91.965,0,0,-0.9349365234375,0
92.266,0,0,-0.9349365234375,0
92.567,0,0,-0.9349365234375,0
92.868,0,0,-0.9349365234375,0
93.169,0,0,-0.9349365234375,0
93.476,0,0,-0.9349365234375,0
93.778,0,0,-0.9349365234375,0
94.079,0,0,-1.083740234375,0
94.381,0,0,-1.083740234375,0
94.682,0,0,-1.09735107421875,0
94.984,0,0,-1.03350830078125,0
95.306,0,0,-1.134033203125,0
95.588,0,0,-1.08111572265625,0
95.89,0,0,-1.08111572265625,0
96.191,0,0,-1.15045166015625,0
96.493,0,0,-1.155517578125,0
96.795,0,0,-1.0113525390625,0
97.097,0,0,-1.0113525390625,0
97.398,0,0,-1.0113525390625,0
97.705,0,0,-1.0113525390625,0
98.007,0,0,-1.0113525390625,0
98.308,0,0,-1.0113525390625,0
98.609,0,0,-1.0113525390625,0
98.91,0,0,-1.0113525390625,0
99.22,0,0,-1.0113525390625,0
99.53,0,0,-1.0113525390625,0
99.953,0,0,-1.0113525390625,0
100.254,0,0,-1.0113525390625,0
100.555,0,0,270.15380859375,0
100.857,0,0,316.4071044921875,0
101.158,0,0,387.3251953125,0
101.489,0,0,447.5269775390625,0
101.764,0,0,639.0218505859375,0
102.071,0,0,639.0218505859375,0
102.373,0,0,639.0218505859375,0
102.674,0,0,639.0218505859375,0
102.975,0,0,639.0218505859375,0
103.276,0,0,639.0218505859375,0
103.577,0,0,639.0218505859375,0
103.878,0,0,639.0218505859375,0
104.186,0,0,1231.1708984375,0
104.487,0,0,1231.1708984375,0
104.788,0,0,1347.848876953125,0
105.09,0,0,1400.861083984375,0
105.392,0,0,1459.12939453125,0
105.694,0,0,1515.890869140625,0
106.017,0,0,1572.6826171875,0
106.3,0,0,1675.35009765625,0
106.602,0,0,1675.35009765625,0
106.903,0,0,1779.9267578125,0
107.205,0,0,1779.9267578125,0
107.506,0,0,1779.9267578125,0
107.807,0,0,1779.9267578125,0
108.108,0,0,1779.9267578125,0
108.415,0,0,1779.9267578125,0
108.717,0,0,1779.9267578125,0
109.018,0,0,1779.9267578125,0
109.328,0,0,2176.35498046875,0
109.638,0,0,2176.35498046875,0
109.948,0,0,2176.35498046875,0
110.258,0,0,2176.35498046875,0
110.565,0,0,2176.35498046875,0
110.867,0,0,2176.35498046875,0
111.168,0,0,2452.3486328125,0
111.47,0,0,2485.96826171875,0
111.772,0,0,2522.541748046875,0
112.074,0,0,2558.115966796875,0
112.376,0,0,2558.115966796875,0
112.683,0,0,2558.115966796875,0
112.984,0,0,2558.115966796875,0
113.285,0,0,2558.115966796875,0
113.586,0,0,2558.115966796875,0
113.887,0,0,2558.115966796875,0
114.188,0,0,2558.115966796875,0
114.521,0,0,2820.10205078125,0
114.804,0,0,2872.215576171875,0
115.105,0,0,2872.215576171875,0
115.406,0,0,2921.289794921875,0
115.708,0,0,2945.9453125,0
116.01,0,0,2969.7138671875,0
116.312,0,0,2992.706298828125,0
116.614,0,0,3012.8173828125,0
116.922,0,0,3034.579833984375,0
117.224,0,0,3034.579833984375,0
117.525,0,0,3034.579833984375,0
117.826,0,0,3034.579833984375,0
118.127,0,0,3034.579833984375,0
118.428,0,0,3034.579833984375,0
118.729,0,0,3034.579833984375,0
119.036,0,0,3034.579833984375,0
119.347,0,0,3199.772705078125,0
119.657,0,0,3199.772705078125,0
119.967,0,0,3199.772705078125,0
120.277,0,0,3199.772705078125,0
120.578,0,0,3199.772705078125,0
120.879,0,0,3259.831298828125,0
121.187,0,0,3270.176513671875,0
121.488,0,0,3270.176513671875,0
121.807,0,0,3287.783935546875,0
122.082,0,0,3303.563720703125,0
122.384,0,0,3303.563720703125,0
122.685,0,0,3303.563720703125,0
122.986,0,0,3303.563720703125,0
123.293,0,0,3303.563720703125,0
123.594,0,0,3303.563720703125,0
123.895,0,0,3303.563720703125,0
124.196,0,0,3303.563720703125,0
124.497,0,0,3337.057373046875,0
124.799,0,0,3339.330322265625,0
125.101,0,0,3340.454833984375,0
125.409,0,0,3340.947021484375,0
125.71,0,0,3340.947021484375,0
126.011,0,0,3337.879638671875,0
126.334,0,0,3342.197509765625,0
126.61,0,0,3338.274169921875,0
126.912,0,0,3335.379638671875,0
127.214,0,0,3330.292724609375,0
127.522,0,0,3330.292724609375,0
127.823,0,0,3330.292724609375,0
128.124,0,0,3330.292724609375,0
128.425,0,0,3330.292724609375,0
128.726,0,0,3330.292724609375,0
129.027,0,0,3330.292724609375,0
129.328,0,0,3330.292724609375,0
129.751,0,0,3291.280517578125,0
130.062,0,0,3285.034423828125,0
130.372,0,0,3285.034423828125,0
130.673,0,0,3285.034423828125,0
130.974,0,0,3278.589111328125,0
131.276,0,0,3277.429443359375,0
131.578,0,0,3275.700439453125,0
131.886,0,0,3274.422607421875,0
132.187,0,0,3274.422607421875,0
132.488,0,0,3271.534423828125,0
132.79,0,0,3271.534423828125,0
133.091,0,0,3271.534423828125,0
133.392,0,0,3271.534423828125,0
133.693,0,0,3271.534423828125,0
134,0,0,3271.534423828125,0
134.302,0,0,3271.534423828125,0
134.603,0,0,3259.813720703125,0
134.905,0,0,3258.783447265625,0
135.207,0,0,3257.673583984375,0
135.509,0,0,3256.411376953125,0
135.811,0,0,3254.594970703125,0
136.119,0,0,3252.890380859375,0
136.421,0,0,3252.890380859375,0
136.722,0,0,3249.157958984375,0
137.045,0,0,3247.329833984375,0
137.32,0,0,3243.421142578125,0
137.621,0,0,3243.421142578125,0
137.922,0,0,3243.421142578125,0
138.229,0,0,3243.421142578125,0
138.53,0,0,3243.421142578125,0
138.831,0,0,3243.421142578125,0
139.132,0,0,3243.421142578125,0
139.433,0,0,3243.421142578125,0
139.743,0,0,3231.317626953125,0
140.053,0,0,3231.317626953125,0
140.476,0,0,3231.317626953125,0
140.778,0,0,3231.317626953125,0
141.079,0,0,3223.973388671875,0
141.38,0,0,3222.112548828125,0
141.682,0,0,3220.489013671875,0
141.984,0,0,3219.151611328125,0
142.286,0,0,3217.749755859375,0
142.594,0,0,3215.947509765625,0
142.896,0,0,3215.947509765625,0
143.197,0,0,3215.947509765625,0
143.498,0,0,3215.947509765625,0
143.799,0,0,3215.947509765625,0
144.1,0,0,3215.947509765625,0
144.401,0,0,3215.947509765625,0
144.728,0,0,3215.947509765625,0
145.03,0,0,3215.947509765625,0
145.331,0,0,3200.345458984375,0
145.633,0,0,3199.238037109375,0
145.935,0,0,3197.726806640625,0
146.237,0,0,3195.680908203125,0
146.539,0,0,3193.785888671875,0
146.847,0,0,3192.039306640625,0
