relseconds,roll,pitch,yaw
115.406,8.923337936401367,-171.77239990234375,-75.1209716796875
115.708,10.679540634155273,-171.0328369140625,-144.6811981201172
116.01,9.327860832214355,-174.13153076171875,146.9254608154297
116.312,7.726992607116699,-177.32382202148438,80.00435638427734
116.614,7.6214752197265625,-177.96340942382812,21.030513763427734
116.922,7.292010307312012,-178.22962951660156,-42.7938346862793
117.224,7.292010307312012,-178.22962951660156,-42.7938346862793
117.525,7.292010307312012,-178.22962951660156,-42.7938346862793
117.826,7.292010307312012,-178.22962951660156,-42.7938346862793
118.127,7.292010307312012,-178.22962951660156,-42.7938346862793
118.428,7.292010307312012,-178.22962951660156,-42.7938346862793
118.729,7.292010307312012,-178.22962951660156,-42.7938346862793
119.036,7.292010307312012,-178.22962951660156,-42.7938346862793
119.347,11.410628318786621,165.73435974121094,159.89926147460938
119.657,11.410628318786621,165.73435974121094,159.89926147460938
119.967,11.410628318786621,165.73435974121094,159.89926147460938
120.277,11.410628318786621,165.73435974121094,159.89926147460938
120.578,11.410628318786621,165.73435974121094,159.89926147460938
120.879,12.594786643981934,149.64352416992188,-27.210474014282227
121.187,19.534414291381836,151.90846252441406,-56.5565299987793
121.488,19.534414291381836,151.90846252441406,-56.5565299987793
121.807,32.51192855834961,170.55075073242188,-99.65143585205078
122.082,32.89051055908203,-168.50894165039062,-138.8892059326172
122.384,32.89051055908203,-168.50894165039062,-138.8892059326172
122.685,32.89051055908203,-168.50894165039062,-138.8892059326172
122.986,32.89051055908203,-168.50894165039062,-138.8892059326172
123.293,32.89051055908203,-168.50894165039062,-138.8892059326172
123.594,32.89051055908203,-168.50894165039062,-138.8892059326172
123.895,32.89051055908203,-168.50894165039062,-138.8892059326172
124.196,32.89051055908203,-168.50894165039062,-138.8892059326172
124.497,-33.02378463745117,114.82487487792969,62.06087112426758
124.799,-42.132102966308594,39.3353385925293,102.95787811279297
125.101,-55.478065490722656,123.03081512451172,26.5179386138916
125.409,-15.52829360961914,166.64419555664062,-20.645084381103516
