relseconds,data
423.906,-71
424.216,-71
424.526,-71
424.827,-71
425.128,-71
425.458,-71
425.733,-71
426.042,-74
426.343,-74
426.644,-74
426.946,-74
427.248,-74
427.549,-74
427.85,-74
428.157,-73
428.458,-73
428.759,-73
429.06,-73
429.361,-73
429.663,-73
429.986,-73
430.268,-74
430.569,-74
430.87,-74
431.172,-74
431.474,-74
431.776,-74
432.078,-74
432.386,-78
432.687,-78
432.988,-78
433.289,-78
433.59,-78
433.9,-78
434.21,-78
434.634,-76
434.935,-76
435.236,-76
435.538,-76
435.84,-76
436.167,-76
436.442,-76
436.751,-77
437.052,-77
437.353,-77
437.654,-77
437.955,-77
438.256,-77
438.557,-77
438.865,-92
439.166,-92
439.467,-92
439.769,-92
440.071,-92
440.373,-92
440.695,-92
440.977,-79
441.279,-79
441.58,-79
441.882,-79
442.184,-79
442.486,-79
442.787,-79
443.094,-84
443.395,-84
443.696,-84
444.006,-84
444.316,-84
444.626,-84
444.936,-84
445.243,-89
445.544,-89
445.845,-89
446.147,-89
446.449,-89
446.751,-89
447.053,-89
447.362,-88
447.663,-88
447.964,-88
448.265,-88
448.566,-88
448.867,-88
449.168,-88
449.481,-79
449.783,-79
450.084,-79
450.386,-79
450.688,-79
450.99,-79
451.292,-79
451.6,-88
451.902,-88
452.231,-88
452.532,-88
452.833,-88
453.134,-88
453.435,-88
453.742,-84
454.052,-84
454.362,-84
454.672,-84
454.982,-84
455.283,-84
455.584,-84
455.893,-81
456.208,-81
456.483,-81
456.785,-81
457.087,-81
457.389,-81
457.691,-81
457.998,-82
458.3,-82
458.601,-82
458.902,-82
459.203,-82
459.504,-82
459.805,-82
460.113,-82
460.415,-82
460.735,-82
461.01,-82
461.312,-82
461.614,-82
461.916,-82
462.224,-79
462.525,-79
462.826,-79
463.127,-79
463.428,-79
463.729,-79
464.03,-79
464.453,-74
464.763,-74
465.073,-74
465.374,-74
465.675,-74
465.977,-74
466.278,-74
466.586,-79
466.916,-79
467.192,-79
467.493,-79
467.795,-79
468.096,-79
468.397,-79
468.704,-76
469.006,-76
469.307,-76
469.608,-76
469.909,-76
470.21,-76
470.512,-76
470.82,-77
471.122,-77
471.423,-77
471.724,-77
472.026,-77
472.328,-77
472.63,-77
472.938,-85
473.24,-85
473.541,-85
473.842,-85
474.143,-85
474.453,-85
474.763,-85
475.187,-73
475.488,-73
475.789,-73
476.091,-73
476.393,-73
476.695,-73
476.997,-73
477.306,-79
477.627,-79
477.928,-79
478.229,-79
478.53,-79
478.831,-79
479.132,-79
479.439,-80
479.74,-80
480.041,-80
480.343,-80
480.645,-80
480.947,-80
481.249,-80
481.557,-85
481.88,-85
482.155,-85
482.457,-85
482.759,-85
483.061,-85
483.362,-85
483.67,-79
483.971,-79
484.272,-79
484.582,-79
484.892,-79
485.202,-79
485.512,-79
485.819,-80
486.132,-80
486.408,-80
486.709,-80
487.011,-80
487.313,-80
487.615,-80
487.922,-69
488.224,-69
488.525,-69
488.826,-69
489.127,-69
489.428,-69
489.729,-69
490.036,-79
490.338,-79
490.66,-79
490.936,-79
491.237,-79
491.539,-79
491.841,-79
492.149,-88
492.45,-88
492.751,-88
493.053,-88
493.355,-88
493.656,-88
493.957,-88
494.264,-75
494.565,-75
494.875,-75
495.185,-75
495.495,-75
495.805,-75
496.106,-75
496.414,-84
496.715,-84
497.016,-84
497.318,-84
497.62,-84
497.944,-84
498.245,-84
498.552,-86
498.853,-86
499.154,-86
499.455,-86
499.756,-86
500.057,-86
500.358,-86
500.667,-79
500.968,-79
501.269,-79
501.571,-79
501.873,-79
502.195,-79
502.471,-79
502.778,-80
503.08,-80
503.381,-80
503.682,-80
503.983,-80
504.284,-80
504.585,-80
505.008,-82
505.429,-82
505.739,-82
506.04,-82
506.341,-82
506.643,-82
506.951,-78
507.274,-78
507.55,-78
507.852,-78
508.154,-78
508.456,-78
508.757,-78
509.064,-74
509.366,-74
509.667,-74
509.968,-74
510.269,-74
510.57,-74
510.872,-74
511.181,-78
511.482,-78
511.803,-78
512.078,-78
512.38,-78
512.682,-78
512.984,-78
513.293,-80
513.594,-80
513.895,-80
514.196,-80
514.497,-80
514.798,-80
515.108,-80
515.531,-82
515.841,-82
516.142,-82
516.443,-82
516.745,-82
517.047,-82
517.349,-82
517.657,-85
517.984,-85
518.26,-85
518.562,-85
518.863,-85
519.164,-85
519.465,-85
519.772,-91
520.074,-91
520.375,-91
520.676,-91
520.978,-91
521.28,-91
521.582,-91
521.89,-80
522.192,-80
522.512,-80
522.788,-80
523.089,-80
523.391,-80
523.692,-80
523.999,-75
524.3,-75
524.601,-75
524.902,-75
525.212,-75
525.522,-75
525.832,-75
526.255,-76
526.557,-76
526.858,-76
527.16,-76
527.462,-76
527.764,-76
528.066,-76
528.375,-78
528.676,-78
528.977,-78
529.278,-78
529.579,-78
529.88,-78
530.181,-78
530.489,-76
530.79,-76
531.091,-76
531.393,-76
531.695,-76
531.997,-76
532.299,-76
532.607,-95
532.909,-95
533.221,-95
533.497,-95
533.798,-95
534.099,-95
534.4,-95
534.707,-82
535.008,-82
535.318,-82
535.628,-82
535.938,-82
536.248,-82
536.549,-82
536.856,-101
537.158,-101
537.473,-101
537.749,-101
538.05,-101
538.352,-101
538.654,-101
538.962,-75
539.264,-75
539.565,-75
539.866,-75
540.167,-75
540.468,-75
540.769,-75
541.076,-71
541.378,-71
541.679,-71
542.001,-71
542.277,-71
542.578,-71
542.88,-71
543.188,-86
543.49,-86
543.791,-86
544.093,-86
544.394,-86
544.695,-86
544.996,-86
545.304,-82
545.614,-82
545.924,-82
546.234,-82
546.544,-82
546.845,-82
547.146,-82
547.455,-80
547.756,-80
548.057,-80
548.359,-80
548.661,-80
548.963,-80
549.265,-80
549.572,-80
549.874,-80
550.175,-80
550.476,-80
550.777,-80
551.078,-80
551.38,-80
551.688,-82
551.99,-82
552.291,-82
552.593,-82
552.895,-82
553.197,-82
553.499,-82
553.82,-77
554.121,-77
554.422,-77
554.723,-77
555.024,-77
555.325,-77
555.635,-77
556.058,-80
556.369,-80
556.67,-80
556.971,-80
557.273,-80
557.575,-80
557.877,-80
558.185,-83
558.487,-83
558.788,-83
559.09,-83
559.392,-83
559.693,-83
559.994,-83
560.302,-82
560.603,-82
560.904,-82
561.214,-82
561.49,-82
561.791,-82
562.093,-82
562.402,-84
562.703,-84
563.004,-84
563.306,-84
563.608,-84
563.91,-84
564.212,-84
564.52,-80
564.822,-80
565.123,-80
565.424,-80
565.734,-80
566.044,-80
566.354,-80
566.777,-79
567.078,-79
567.396,-79
567.671,-79
567.973,-79
568.275,-79
568.577,-79
568.885,-79
569.186,-79
569.487,-79
569.788,-79
570.089,-79
570.39,-79
570.691,-79
570.998,-79
571.3,-79
571.601,-79
571.925,-79
572.201,-79
572.502,-79
572.804,-79
573.113,-83
573.414,-83
573.715,-83
574.017,-83
574.319,-83
574.621,-83
574.922,-83
575.23,-77
575.531,-77
575.841,-77
576.151,-77
576.461,-77
576.771,-77
577.072,-77
577.379,-78
577.681,-78
577.982,-78
578.284,-78
578.586,-78
